item_id,brand,title,category,color_list,size_list,current_price,original_price,tags,availability_status,product_url,image_url,raw_source
alo_yoga:15cdd0929d,alo_yoga,Airlift Intrigue Bra - Espresso,,[],[],,,[],,https://www.aloyoga.com/products/w9679r-airlift-intrigue-bra-espresso,https://cdn.shopify.com/s/files/1/2185/2813/files/W9679R_04064_b2_s1_a1_1_m254_a691aafb-fe82-4263-bd7b-853a3a7e41e0_320x.jpg?v=1755014101,alo_yoga_products.csv
alo_yoga:2e5a6b6729,alo_yoga,7/8 High-Waist Airlift Legging - Espresso,,[],[],,,[],,https://www.aloyoga.com/products/w51314r-7-8-high-waist-airlift-legging-espresso,https://cdn.shopify.com/s/files/1/2185/2813/files/W51314R_04064_b2_s1_a1_1_m54_320x.jpg?v=1745619160,alo_yoga_products.csv
alo_yoga:6fb2cba563,alo_yoga,Work It Mini Skirt - Green Olive,,[],[],,,[],,https://www.aloyoga.com/products/w6503r-work-it-mini-skirt-green-olive,https://cdn.shopify.com/s/files/1/2185/2813/files/W6503R_06464_b2_s1_a1_m176_320x.jpg?v=1755864852,alo_yoga_products.csv
alo_yoga:88ada6c6c6,alo_yoga,Work It Bomber - Green Olive,,[],[],,,[],,https://www.aloyoga.com/products/w4689r-work-it-bomber-green-olive,https://cdn.shopify.com/s/files/1/2185/2813/files/W4689R_06464_b2_s1_a1_m176_320x.jpg?v=1755863588,alo_yoga_products.csv
alo_yoga:fe2be17ba5,alo_yoga,Airlift Intrigue Bra - Black,,[],[],,,[],,https://www.aloyoga.com/products/w9679r-airlift-intrigue-bra-black,https://cdn.shopify.com/s/files/1/2185/2813/files/W9679R_01_b2_s1_a1_1_m190_320x.jpg?v=1756827754,alo_yoga_products.csv
alo_yoga:5c6aebfa67,alo_yoga,7/8 High-Waist Airlift Legging - Black,,[],[],,,[],,https://www.aloyoga.com/products/w5766r-7-8-high-waist-airlift-legging-black,https://cdn.shopify.com/s/files/1/2185/2813/files/W5766R_01_b2_s1_a1_1_m255_320x.jpg?v=1756827034,alo_yoga_products.csv
alo_yoga:7195705b45,alo_yoga,Cropped Serenity Coverup - Ivory,,[],[],,,[],,https://www.aloyoga.com/products/w3875r-cropped-serenity-coverup-ivory,https://cdn.shopify.com/s/files/1/2185/2813/files/W3875R_03299_b2_s1_a1_1_m190_320x.jpg?v=1756827401,alo_yoga_products.csv
alo_yoga:f0437fde38,alo_yoga,Accolade Short - Ivory,,[],[],,,[],,https://www.aloyoga.com/products/w6472rg-accolade-short-ivory,https://cdn.shopify.com/s/files/1/2185/2813/files/W6472RG_03299_b1_s1_a6_m240_320x.jpg?v=1755913915,alo_yoga_products.csv
alo_yoga:4428670ebf,alo_yoga,Ribbed Sea Coast Cropped Short Sleeve Tee - Ivory,,[],[],,,[],,https://www.aloyoga.com/products/w1445r-ribbed-sea-coast-cropped-short-sleeve-tee-ivory,https://cdn.shopify.com/s/files/1/2185/2813/files/W1445R_03299_b1_s1_a1_1_m76_320x.jpg?v=1698276797,alo_yoga_products.csv
alo_yoga:683acfdfce,alo_yoga,Accolade Crew Neck Pullover - Espresso,,[],[],,,[],,https://www.aloyoga.com/products/u3031rg-accolade-crew-neck-pullover-espresso,https://cdn.shopify.com/s/files/1/2185/2813/files/U3031RG_04064_b2_s1_a2_1_m190_320x.jpg?v=1756827811,alo_yoga_products.csv
